folder,param1,param2,csv_name,c_val,d_val,Total_NLL,NLL_CO2,NLL_SST
0.8_-18_-46,-18,-46,CHEES_-32_5400.csv,-32,5400,5.27210948049902,5.20764291520556,0.0644665652934624
0.8_-28_-36,-28,-36,CHEES_-32_5300.csv,-32,5300,5.27213009398496,5.20751031829152,0.0646197756934448
0.8_-18_-37,-18,-37,CHEES_-27_5300.csv,-27,5300,5.27214744457363,5.20648373747993,0.0656637070936991
0.8_-24_-46,-24,-46,CHEES_-35_5300.csv,-35,5300,5.27216876428064,5.207556676493,0.0646120877876381
0.8_-24_-36,-24,-36,CHEES_-30_5300.csv,-30,5300,5.27221429445533,5.20761267078648,0.0646016236688536
0.8_-20_-35,-20,-35,CHEES_-27_5300.csv,-27,5300,5.27222956141494,5.2062632204132,0.0659663410017381
0.8_-6_-37,-6,-37,CHEES_-22_5400.csv,-22,5400,5.27225485543572,5.20780731908087,0.0644475363548498
0.8_-7_-36,-7,-36,CHEES_-22_5300.csv,-22,5300,5.27228999988767,5.20790997308679,0.0643800268008772
0.8_-24_-40,-24,-40,CHEES_-32_5300.csv,-32,5300,5.27229380571799,5.20764862123756,0.0646451844804231
0.8_-22_-42,-22,-42,CHEES_-32_5300.csv,-32,5300,5.27230146861689,5.20766230232876,0.0646391662881342
0.8_-18_-34,-18,-34,CHEES_-26_5400.csv,-26,5400,5.27231508791671,5.20706509115384,0.0652499967628733
0.8_-12_-35,-12,-35,CHEES_-24_5300.csv,-24,5300,5.27235568612992,5.20792956688879,0.0644261192411234
0.8_-24_-48,-24,-48,CHEES_-35_5300.csv,-35,5300,5.27236694105963,5.20614311584541,0.0662238252142152
0.8_-6_-38,-6,-38,CHEES_-22_5300.csv,-22,5300,5.27238247586897,5.20772478711493,0.0646576887540298
0.8_-16_-56,-16,-56,CHEES_-35_5300.csv,-35,5300,5.27246410142318,5.20667649326852,0.0657876081546575
0.8_-14_-60,-14,-60,CHEES_-35_5300.csv,-35,5300,5.27252283921599,5.20614311861323,0.0663797206027564
0.8_-6_-48,-6,-48,CHEES_-26_5300.csv,-26,5300,5.27254602503581,5.2067808506067,0.0657651744291124
0.8_-6_-46,-6,-46,CHEES_-25_5300.csv,-25,5300,5.27259370822103,5.20675577531827,0.0658379329027655
0.8_-14_-36,-14,-36,CHEES_-25_5300.csv,-25,5300,5.27261272681215,5.20789463744556,0.0647180893665856
0.8_-18_-40,-18,-40,CHEES_-28_5300.csv,-28,5300,5.27262449587498,5.2061451382835,0.0664793575914787
0.8_-16_-38,-16,-38,CHEES_-26_5300.csv,-26,5300,5.27267007775747,5.20614484398089,0.0665252337765817
0.8_-8_-34,-8,-34,CHEES_-22_5300.csv,-22,5300,5.27286411713282,5.2075138833926,0.0653502337402201
0.8_-20_-38,-20,-38,CHEES_-29_5300.csv,-29,5300,5.27286829013601,5.20810014975907,0.0647681403769413
0.8_-22_-35,-22,-35,CHEES_-29_5300.csv,-29,5300,5.27291717097064,5.20754009682077,0.0653770741498691
0.8_-22_-50,-22,-50,CHEES_-35_5300.csv,-35,5300,5.27294706227696,5.20642035807115,0.0665267042058058
0.8_-26_-44,-26,-44,CHEES_-35_5300.csv,-35,5300,5.2729511159492,5.20818018653595,0.0647709294132559
0.8_-5_-37,-5,-37,CHEES_-22_5300.csv,-22,5300,5.27299472431683,5.20840090418101,0.0645938201358195
0.8_-16_-40,-16,-40,CHEES_-29_5300.csv,-29,5300,5.27314842181464,5.20766492524966,0.065483496564982
0.8_-28_-32,-28,-32,CHEES_-30_5300.csv,-30,5300,5.27316648396306,5.20833609866064,0.0648303853024134
0.8_-20_-44,-20,-44,CHEES_-33_5300.csv,-33,5300,5.27318508930482,5.20767308427298,0.0655120050318479
0.8_-26_-46,-26,-46,CHEES_-35_5300.csv,-35,5300,5.27320453753309,5.20615317984235,0.0670513576907405
0.8_-20_-52,-20,-52,CHEES_-35_5300.csv,-35,5300,5.27329923245287,5.206768759839,0.0665304726138716
0.8_-6_-36,-6,-36,CHEES_-22_5300.csv,-22,5300,5.27335392690941,5.20872994733921,0.0646239795701984
0.8_-16_-54,-16,-54,CHEES_-33_5300.csv,-33,5300,5.27336321073823,5.20616761991928,0.0671955908189529
0.8_-5_-38,-5,-38,CHEES_-23_5300.csv,-23,5300,5.27353158204084,5.20774248207056,0.0657890999702801
0.8_-26_-37,-26,-37,CHEES_-32_5300.csv,-32,5300,5.2735843635756,5.20777150703687,0.0658128565387305
0.8_-22_-32,-22,-32,CHEES_-27_5300.csv,-27,5300,5.27362950248464,5.20869920208358,0.0649303004010576
0.8_-18_-56,-18,-56,CHEES_-35_5300.csv,-35,5300,5.27375812948388,5.20614285901765,0.067615270466233
0.8_-24_-35,-24,-35,CHEES_-29_5300.csv,-29,5300,5.27380293325974,5.20626733867977,0.0675355945799658
0.8_-10_-32,-10,-32,CHEES_-22_5300.csv,-22,5300,5.27401431390567,5.20876240465434,0.0652519092513376
0.8_-16_-58,-16,-58,CHEES_-35_5300.csv,-35,5300,5.27403471838453,5.20625549583166,0.0677792225528778
0.8_-7_-35,-7,-35,CHEES_-22_5300.csv,-22,5300,5.2740574722007,5.20950708076387,0.0645503914368387
0.8_-28_-42,-28,-42,CHEES_-35_5400.csv,-35,5400,5.27420209410433,5.20827840495774,0.0659236891465907
0.8_-20_-36,-20,-36,CHEES_-27_5400.csv,-27,5400,5.27425667070481,5.20845294486624,0.0658037258385714
0.8_-20_-54,-20,-54,CHEES_-35_5300.csv,-35,5300,5.27426288689591,5.20620379103425,0.0680590958616615
0.8_-26_-35,-26,-35,CHEES_-30_5300.csv,-30,5300,5.27457565734504,5.20615074679395,0.0684249105510843
0.8_-7_-34,-7,-34,CHEES_-22_5300.csv,-22,5300,5.27466903505874,5.20807986393309,0.0665891711256464
0.8_-5_-36,-5,-36,CHEES_-22_5300.csv,-22,5300,5.27504382038941,5.20998530186465,0.06505851852476
0.8_-28_-37,-28,-37,CHEES_-32_5300.csv,-32,5300,5.27505899844765,5.20620035189838,0.0688586465492679
0.8_-30_-37,-30,-37,CHEES_-33_5400.csv,-33,5400,5.27551147698821,5.20626509458521,0.0692463824030013
0.8_-14_-32,-14,-32,CHEES_-22_5400.csv,-22,5400,5.27569011602592,5.21105139256567,0.0646387234602488
0.8_-28_-44,-28,-44,CHEES_-35_5300.csv,-35,5300,5.27581828103598,5.20615282691787,0.0696654541181107
0.8_-24_-34,-24,-34,CHEES_-29_5400.csv,-29,5400,5.27591562234751,5.20936188950094,0.0665537328465608
0.8_-6_-35,-6,-35,CHEES_-22_5300.csv,-22,5300,5.2759971119357,5.2110067044932,0.0649904074425031
0.8_-30_-38,-30,-38,CHEES_-34_5400.csv,-34,5400,5.27603390262619,5.20941215181759,0.0666217508085982
0.8_-22_-52,-22,-52,CHEES_-35_5300.csv,-35,5300,5.27622282660388,5.20614296681827,0.0700798597856161
0.8_-28_-35,-28,-35,CHEES_-32_5300.csv,-32,5300,5.27670081966071,5.20886603512623,0.0678347845344825
