folder,param1,param2,csv_name,c,d,Best_Mu,P_at_BestMu,Delta_at_BestMu
0.8_-20_-42,-20,-42,CHEES_-35_5400.csv,-35,5400,1.09585594541778,3.13778490143038,3.01602312971729
0.8_-5_-40,-5,-40,CHEES_-35_5400.csv,-35,5400,1.09597848909331,3.21441230414759,3.09263691647055
0.8_-22_-42,-22,-42,CHEES_-35_5500.csv,-35,5500,1.09647842789681,3.04446826259763,2.92263732616465
0.8_-18_-42,-18,-42,CHEES_-35_5400.csv,-35,5400,1.09853091276689,3.16086023698261,3.03880124667518
0.8_-16_-42,-16,-42,CHEES_-35_5400.csv,-35,5400,1.09976942438606,3.15132084302911,3.02912424031955
0.8_-14_-42,-14,-42,CHEES_-35_5400.csv,-35,5400,1.10118932403056,3.13909768790164,3.01674331856492
0.8_-28_-44,-28,-44,CHEES_-35_5500.csv,-35,5500,1.1016928332218,2.97209237426583,2.84968205946341
0.8_-12_-42,-12,-42,CHEES_-35_5400.csv,-35,5400,1.10246192750342,3.15801862451277,3.03552285479017
0.8_-30_-44,-30,-44,CHEES_-35_5500.csv,-35,5500,1.10292887154182,2.97361480140686,2.85106714901332
0.8_-26_-44,-26,-44,CHEES_-35_5500.csv,-35,5500,1.10305949994365,2.99725396775159,2.87469180109118
0.8_-10_-42,-10,-42,CHEES_-35_5400.csv,-35,5400,1.10372499408296,3.15926481518608,3.03662870473242
0.8_-24_-44,-24,-44,CHEES_-35_5500.csv,-35,5500,1.10508911373234,2.97354088127352,2.85075320196993
0.8_-8_-42,-8,-42,CHEES_-35_5400.csv,-35,5400,1.10512373603711,3.13220873180787,3.00941720558152
0.8_-7_-42,-7,-42,CHEES_-35_5400.csv,-35,5400,1.10592196254308,3.17850949429061,3.05562927623027
0.8_-6_-42,-6,-42,CHEES_-35_5400.csv,-35,5400,1.10600515838885,3.16916110043774,3.04627163839453
0.8_-22_-44,-22,-44,CHEES_-35_5500.csv,-35,5500,1.10693020489347,2.99534510238583,2.87235285739766
0.8_-20_-44,-20,-44,CHEES_-35_5500.csv,-35,5500,1.10881189771577,3.00198739152602,2.8787860695576
0.8_-5_-42,-5,-42,CHEES_-35_5400.csv,-35,5400,1.11009584105729,3.24133432396727,3.11799034162758
0.8_-18_-44,-18,-44,CHEES_-35_5500.csv,-35,5500,1.11077686754352,3.00448212390998,2.8810624719607
0.8_-16_-44,-16,-44,CHEES_-35_5400.csv,-35,5400,1.1124496226787,3.05304057370613,2.92943506007516
0.8_-14_-44,-14,-44,CHEES_-35_5400.csv,-35,5400,1.11389824151463,3.05602677240471,2.93226030112531
0.8_-12_-44,-12,-44,CHEES_-35_5500.csv,-35,5500,1.11630681845388,2.98762873303025,2.86359464209093
0.8_-10_-44,-10,-44,CHEES_-35_5500.csv,-35,5500,1.11712417950656,3.01678941397136,2.8926645051373
0.8_-26_-46,-26,-46,CHEES_-35_5500.csv,-35,5500,1.11801519886717,2.91364767444872,2.78942376346348
0.8_-8_-44,-8,-44,CHEES_-35_5400.csv,-35,5400,1.11844987244236,3.07900789591324,2.95473568786408
0.8_-7_-44,-7,-44,CHEES_-35_5500.csv,-35,5500,1.11882048762339,3.00733047092946,2.88301708341575
0.8_-28_-46,-28,-46,CHEES_-35_5500.csv,-35,5500,1.11913763987219,2.93270042074673,2.80835179409427
0.8_-6_-44,-6,-44,CHEES_-35_5400.csv,-35,5400,1.11956521737274,3.08506546819986,2.96066933293622
0.8_-5_-44,-5,-44,CHEES_-35_5500.csv,-35,5500,1.11981638142048,3.01518601213265,2.8907619697526
0.8_-24_-46,-24,-46,CHEES_-35_5600.csv,-35,5600,1.12047509125953,2.87609202741356,2.75159479505139
0.8_-30_-46,-30,-46,CHEES_-35_5600.csv,-35,5600,1.12177155717971,2.85564553681868,2.7310042526876
0.8_-22_-46,-22,-46,CHEES_-35_5400.csv,-35,5400,1.1233705575408,2.98115096064172,2.85633200980385
0.8_-18_-46,-18,-46,CHEES_-35_5500.csv,-35,5500,1.12428033897429,2.9192796788069,2.79435964114309
0.8_-20_-46,-20,-46,CHEES_-35_5600.csv,-35,5600,1.12542289557581,2.85468944307461,2.7296424546773
0.8_-16_-46,-16,-46,CHEES_-35_5500.csv,-35,5500,1.12600104406302,2.92082479325611,2.79571356613799
0.8_-14_-46,-14,-46,CHEES_-35_5500.csv,-35,5500,1.12773392777137,2.92165052364158,2.7963467538892
0.8_-12_-46,-12,-46,CHEES_-35_5500.csv,-35,5500,1.12921802984309,2.92420899460262,2.79874032462006
0.8_-10_-46,-10,-46,CHEES_-35_5500.csv,-35,5500,1.13093622158044,2.9605913898138,2.83493180963819
0.8_-7_-46,-7,-46,CHEES_-35_5500.csv,-35,5500,1.13239600491733,2.93567375084361,2.80985197251946
0.8_-6_-46,-6,-46,CHEES_-35_5500.csv,-35,5500,1.13289797180444,2.94171019044202,2.81583263801931
0.8_-5_-46,-5,-46,CHEES_-35_5500.csv,-35,5500,1.13350840865149,2.94111222099703,2.81516684225798
0.8_-8_-46,-8,-46,CHEES_-35_5400.csv,-35,5400,1.13380793396506,3.01044338695574,2.88446472762629
0.8_-26_-48,-26,-48,CHEES_-35_5600.csv,-35,5600,1.13514511666745,2.83745388863614,2.71132665345086
0.8_-28_-48,-28,-48,CHEES_-35_5600.csv,-35,5600,1.13548081810262,2.81914537273491,2.69298083739018
0.8_-24_-48,-24,-48,CHEES_-35_5600.csv,-35,5600,1.13564088071562,2.80316376770299,2.67698144762348
0.8_-22_-48,-22,-48,CHEES_-35_5600.csv,-35,5600,1.13675319764367,2.83659878994547,2.71029287909617
0.8_-20_-48,-20,-48,CHEES_-35_5500.csv,-35,5500,1.13901031503865,2.87751598843779,2.75095928676683
0.8_-18_-48,-18,-48,CHEES_-35_5600.csv,-35,5600,1.13980303021779,2.81958181712855,2.69293703599324
0.8_-30_-48,-30,-48,CHEES_-35_5600.csv,-35,5600,1.13986639775306,2.81115789456478,2.68450607259221
0.8_-16_-48,-16,-48,CHEES_-35_5600.csv,-35,5600,1.14255306759988,2.80794639393151,2.68099605308708
0.8_-14_-48,-14,-48,CHEES_-35_5500.csv,-35,5500,1.14326478959118,2.88414106828935,2.75711164722366
