folder,param1,param2,best_delta_score,csv_name,c,d,corr_p
-10_-40,-10,-40,0.0359564992334249,CHEES_-35_5000.csv,-35,5000,0.038791829665618
-7_-38,-7,-38,0.0359854218796387,CHEES_-35_5000.csv,-35,5000,0.0391020322205724
-12_-46,-12,-46,0.0359952650284463,CHEES_-35_4900.csv,-35,4900,0.0379587670282376
-12_-44,-12,-44,0.036002661341958,CHEES_-35_4900.csv,-35,4900,0.0381229543801241
-8_-38,-8,-38,0.0360288959298972,CHEES_-35_5000.csv,-35,5000,0.0391427184335029
-12_-48,-12,-48,0.0360291287182333,CHEES_-35_4900.csv,-35,4900,0.0378569933013923
-12_-56,-12,-56,0.0360352490680307,CHEES_-35_4800.csv,-35,4800,0.0372889849490462
-12_-54,-12,-54,0.036043747637074,CHEES_-35_4800.csv,-35,4800,0.0373646830011782
-12_-58,-12,-58,0.036044222347032,CHEES_-35_4800.csv,-35,4800,0.0372404518014352
-12_-60,-12,-60,0.0360576054745929,CHEES_-35_4800.csv,-35,4800,0.0372053041993966
-12_-50,-12,-50,0.0360649562316342,CHEES_-35_4900.csv,-35,4900,0.0377732907788321
-5_-37,-5,-37,0.0360862909051949,CHEES_-35_5000.csv,-35,5000,0.0393539353667718
-6_-37,-6,-37,0.0361026171727172,CHEES_-35_5000.csv,-35,5000,0.0393686556192358
-12_-52,-12,-52,0.0361085778239971,CHEES_-35_4800.csv,-35,4800,0.0375096363509111
-12_-42,-12,-42,0.0361212189646938,CHEES_-35_4900.csv,-35,4900,0.0384296400294494
-10_-38,-10,-38,0.0361319443961519,CHEES_-35_5000.csv,-35,5000,0.0392390657190175
-7_-37,-7,-37,0.0361324760295618,CHEES_-35_5000.csv,-35,5000,0.0393970318865158
-8_-37,-8,-37,0.0361616009795871,CHEES_-35_5000.csv,-35,5000,0.0394237994709831
-12_-40,-12,-40,0.036176882283392,CHEES_-35_5000.csv,-35,5000,0.0390022655554572
-10_-37,-10,-37,0.036252674869876,CHEES_-35_5000.csv,-35,5000,0.039510947167792
-12_-38,-12,-38,0.0362621707706163,CHEES_-35_5000.csv,-35,5000,0.0393633770225574
-5_-36,-5,-36,0.0363086680555939,CHEES_-35_5000.csv,-35,5000,0.0397349446944745
-6_-36,-6,-36,0.036320342373676,CHEES_-35_5000.csv,-35,5000,0.0397458792652879
-12_-37,-12,-37,0.0363259924362647,CHEES_-35_5000.csv,-35,5000,0.0395785212141286
-7_-36,-7,-36,0.0363370270753078,CHEES_-35_5000.csv,-35,5000,0.0397619759661258
-8_-36,-8,-36,0.0363462864902538,CHEES_-35_5000.csv,-35,5000,0.0397698506521156
-10_-36,-10,-36,0.0363877674135677,CHEES_-35_5000.csv,-35,5000,0.039809522411443
-14_-40,-14,-40,0.0363954587937043,CHEES_-35_5000.csv,-35,5000,0.0392083140883307
-14_-38,-14,-38,0.0364186918174673,CHEES_-35_5000.csv,-35,5000,0.0395105228673321
-14_-44,-14,-44,0.0364197597707122,CHEES_-35_4900.csv,-35,4900,0.0385250117510912
-14_-37,-14,-37,0.0364316817600623,CHEES_-35_5000.csv,-35,5000,0.0396789149923027
-14_-42,-14,-42,0.0364342018300274,CHEES_-35_5000.csv,-35,5000,0.0390072936119182
-12_-36,-12,-36,0.0364351343850358,CHEES_-35_5000.csv,-35,5000,0.039853812835121
-14_-46,-14,-46,0.0364501830376774,CHEES_-35_4900.csv,-35,4900,0.0383961038313206
-14_-36,-14,-36,0.0364825629332099,CHEES_-35_5000.csv,-35,5000,0.0398981096326603
-14_-48,-14,-48,0.0365372785098373,CHEES_-35_4900.csv,-35,4900,0.0383459728427159
-16_-36,-16,-36,0.0365490797285906,CHEES_-35_5000.csv,-35,5000,0.0399608931112039
-16_-37,-16,-37,0.0365546339658122,CHEES_-35_5000.csv,-35,5000,0.0397950042055225
-10_-35,-10,-35,0.0365671520679511,CHEES_-35_5000.csv,-35,5000,0.0401653955518486
-12_-35,-12,-35,0.0365671520679511,CHEES_-35_5000.csv,-35,5000,0.0401653955518486
-14_-35,-14,-35,0.0365671520679511,CHEES_-35_5000.csv,-35,5000,0.0401653955518486
-16_-35,-16,-35,0.0365671520679511,CHEES_-35_5000.csv,-35,5000,0.0401653955518486
-18_-35,-18,-35,0.0365671520679511,CHEES_-35_5000.csv,-35,5000,0.0401653955518486
